model_id,stage,metric,group,n,mean,ci_low,ci_high,mannwhitney_u,p_value
Qwen/Qwen3.5-4B,late_22_31,log_midpoint_distance_ratio,direct_no_ack,733,0.7134024676661984,0.6879538904258428,0.7404491606046011,,
Qwen/Qwen3.5-4B,late_22_31,log_midpoint_distance_ratio,self_resolves,125,0.695731602039658,0.6359343794299577,0.7583158177982088,,
Qwen/Qwen3.5-4B,late_22_31,log_midpoint_distance_ratio,direct_vs_self_resolves_test,858,,,,46880.0,0.6769484112505241
Qwen/Qwen3.5-4B,middle_10_21,position_t,direct_no_ack,733,0.4175527659786303,0.3980567474980964,0.4372094056039447,,
Qwen/Qwen3.5-4B,middle_10_21,position_t,self_resolves,125,0.5028311413706053,0.45375391138920596,0.5540690768641993,,
Qwen/Qwen3.5-4B,middle_10_21,position_t,direct_vs_self_resolves_test,858,,,,37472.0,0.0011278892623396368
Qwen/Qwen3.5-4B,middle_10_21,oriented_position,direct_no_ack,733,0.5335290092361794,0.512092178017935,0.5550336740851961,,
Qwen/Qwen3.5-4B,middle_10_21,oriented_position,self_resolves,125,0.559967716401131,0.5136159358645839,0.60700141517464,,
Qwen/Qwen3.5-4B,middle_10_21,oriented_position,direct_vs_self_resolves_test,789,,,,38087.0,0.43783962509916563
Qwen/Qwen3.5-4B,middle_10_21,log_offaxis_ratio,direct_no_ack,733,0.6365232880160016,0.6185075509016584,0.6552963194595472,,
Qwen/Qwen3.5-4B,middle_10_21,log_offaxis_ratio,self_resolves,125,0.6681041948148275,0.6236903996047768,0.7174195545928819,,
Qwen/Qwen3.5-4B,middle_10_21,log_offaxis_ratio,direct_vs_self_resolves_test,858,,,,42759.0,0.233220784783997
Qwen/Qwen3.5-4B,middle_10_21,offaxis_fraction,direct_no_ack,733,0.9152251047152733,0.9072809284752189,0.9225024225724067,,
Qwen/Qwen3.5-4B,middle_10_21,offaxis_fraction,self_resolves,125,0.9318917661228406,0.9133167623048034,0.9470248542486747,,
Qwen/Qwen3.5-4B,middle_10_21,offaxis_fraction,direct_vs_self_resolves_test,858,,,,40793.0,0.05002313418891696
Qwen/Qwen3.5-4B,middle_10_21,log_midpoint_distance_ratio,direct_no_ack,733,0.6723729302297604,0.6560088670719494,0.6893963512591538,,
Qwen/Qwen3.5-4B,middle_10_21,log_midpoint_distance_ratio,self_resolves,125,0.698317284875257,0.653726225306356,0.74421814802762,,
Qwen/Qwen3.5-4B,middle_10_21,log_midpoint_distance_ratio,direct_vs_self_resolves_test,858,,,,43211.0,0.3098146607465485
Qwen/Qwen3.5-9B,early_00_09,position_t,direct_no_ack,717,0.429860822646052,0.408423523811484,0.45116286652984944,,
Qwen/Qwen3.5-9B,early_00_09,position_t,self_resolves,139,0.5017818998829836,0.45783527135785346,0.5459499294237298,,
Qwen/Qwen3.5-9B,early_00_09,position_t,direct_vs_self_resolves_test,856,,,,41821.0,0.0026787700335098
Qwen/Qwen3.5-9B,early_00_09,oriented_position,direct_no_ack,717,0.5494959727854796,0.527462628008018,0.5706840433723752,,
Qwen/Qwen3.5-9B,early_00_09,oriented_position,self_resolves,139,0.5105721581921997,0.4654042841051014,0.5527980266711335,,
Qwen/Qwen3.5-9B,early_00_09,oriented_position,direct_vs_self_resolves_test,800,,,,48145.0,0.18335405262602122
Qwen/Qwen3.5-9B,early_00_09,log_offaxis_ratio,direct_no_ack,717,0.7312776181111926,0.7101544342670428,0.7536320235258975,,
Qwen/Qwen3.5-9B,early_00_09,log_offaxis_ratio,self_resolves,139,0.7275474266631087,0.6872035944125195,0.7687117420616364,,
Qwen/Qwen3.5-9B,early_00_09,log_offaxis_ratio,direct_vs_self_resolves_test,856,,,,48836.0,0.7091820123174024
Qwen/Qwen3.5-9B,early_00_09,offaxis_fraction,direct_no_ack,717,0.9310203785048181,0.924124440535791,0.9372784379533008,,
Qwen/Qwen3.5-9B,early_00_09,offaxis_fraction,self_resolves,139,0.9410351030522776,0.9249701623204623,0.9546730123771502,,
Qwen/Qwen3.5-9B,early_00_09,offaxis_fraction,direct_vs_self_resolves_test,856,,,,44751.0,0.05689305515390682
Qwen/Qwen3.5-9B,early_00_09,log_midpoint_distance_ratio,direct_no_ack,717,0.7631493282609051,0.7436786396973062,0.7844555130511891,,
Qwen/Qwen3.5-9B,early_00_09,log_midpoint_distance_ratio,self_resolves,139,0.7549194087534822,0.7182937758461517,0.794737392501208,,
Qwen/Qwen3.5-9B,early_00_09,log_midpoint_distance_ratio,direct_vs_self_resolves_test,856,,,,49641.0,0.9432246393336319
Qwen/Qwen3.5-9B,late_22_31,position_t,direct_no_ack,717,0.4903344092624939,0.4595366714481925,0.5210878216578916,,
Qwen/Qwen3.5-9B,late_22_31,position_t,self_resolves,139,0.5977101234203563,0.5313182280328277,0.6656512103785265,,
Qwen/Qwen3.5-9B,late_22_31,position_t,direct_vs_self_resolves_test,856,,,,41266.0,0.0013254542047013917
Qwen/Qwen3.5-9B,late_22_31,oriented_position,direct_no_ack,717,0.5357107363433892,0.5036879170008702,0.5675618851243925,,
Qwen/Qwen3.5-9B,late_22_31,oriented_position,self_resolves,139,0.5466115999479253,0.47226767007135206,0.6147283861469283,,
Qwen/Qwen3.5-9B,late_22_31,oriented_position,direct_vs_self_resolves_test,800,,,,45150.0,0.9147666610824073
Qwen/Qwen3.5-9B,late_22_31,log_offaxis_ratio,direct_no_ack,717,0.7228167618002203,0.6927297652618217,0.7542576308751155,,
Qwen/Qwen3.5-9B,late_22_31,log_offaxis_ratio,self_resolves,139,0.6826942132677221,0.6150892964450825,0.7561918694687471,,
Qwen/Qwen3.5-9B,late_22_31,log_offaxis_ratio,direct_vs_self_resolves_test,856,,,,54115.0,0.10840738986506852
Qwen/Qwen3.5-9B,late_22_31,offaxis_fraction,direct_no_ack,717,0.911616393866686,0.9015835020517898,0.9206684246843153,,
Qwen/Qwen3.5-9B,late_22_31,offaxis_fraction,self_resolves,139,0.8948429779151433,0.8696162753126538,0.9184562213475718,,
Qwen/Qwen3.5-9B,late_22_31,offaxis_fraction,direct_vs_self_resolves_test,856,,,,52645.0,0.29170252329464375
Qwen/Qwen3.5-9B,late_22_31,log_midpoint_distance_ratio,direct_no_ack,717,0.7602929016732956,0.7309882090764033,0.7895668813917701,,
Qwen/Qwen3.5-9B,late_22_31,log_midpoint_distance_ratio,self_resolves,139,0.7276628633813388,0.659358278004358,0.7985711967700382,,
Qwen/Qwen3.5-9B,late_22_31,log_midpoint_distance_ratio,direct_vs_self_resolves_test,856,,,,53967.0,0.12116117645166047
Qwen/Qwen3.5-9B,middle_10_21,position_t,direct_no_ack,717,0.48440138974740976,0.46554486503044457,0.5032831617197151,,
Qwen/Qwen3.5-9B,middle_10_21,position_t,self_resolves,139,0.5524634806378464,0.5113588768543725,0.5961201781530888,,
Qwen/Qwen3.5-9B,middle_10_21,position_t,direct_vs_self_resolves_test,856,,,,42664.0,0.007222661849456734
Qwen/Qwen3.5-9B,middle_10_21,oriented_position,direct_no_ack,717,0.511184602309071,0.4919670423021363,0.5307204861925215,,
Qwen/Qwen3.5-9B,middle_10_21,oriented_position,self_resolves,139,0.50509693153466,0.4609647473450186,0.5497909148719838,,
Qwen/Qwen3.5-9B,middle_10_21,oriented_position,direct_vs_self_resolves_test,800,,,,45609.0,0.7683517068228494
Qwen/Qwen3.5-9B,middle_10_21,log_offaxis_ratio,direct_no_ack,717,0.6366863917919446,0.6174393803991415,0.6563243054216812,,
Qwen/Qwen3.5-9B,middle_10_21,log_offaxis_ratio,self_resolves,139,0.6361733209051234,0.5899970178785432,0.6852639367419742,,
Qwen/Qwen3.5-9B,middle_10_21,log_offaxis_ratio,direct_vs_self_resolves_test,856,,,,50606.0,0.7717262110575787
Qwen/Qwen3.5-9B,middle_10_21,offaxis_fraction,direct_no_ack,717,0.9264867972778925,0.9190332844528678,0.9334862658829076,,
Qwen/Qwen3.5-9B,middle_10_21,offaxis_fraction,self_resolves,139,0.9252376572735947,0.9088790760241181,0.9411180387090524,,
Qwen/Qwen3.5-9B,middle_10_21,offaxis_fraction,direct_vs_self_resolves_test,856,,,,50169.0,0.8994806932742787
Qwen/Qwen3.5-9B,middle_10_21,log_midpoint_distance_ratio,direct_no_ack,717,0.6670061736379603,0.648578409267797,0.6850346388408125,,
Qwen/Qwen3.5-9B,middle_10_21,log_midpoint_distance_ratio,self_resolves,139,0.6677537180907133,0.6253914241393614,0.7165441826348732,,
Qwen/Qwen3.5-9B,middle_10_21,log_midpoint_distance_ratio,direct_vs_self_resolves_test,856,,,,50276.0,0.8678232132171265
